Amphioctopus fangsiao
Balanus rostratus
Batillus cornutus
Bos grunniens mutus
Charybdis feriatus
Chionoecetes opilio
Clupea harengus
Crangon crangon
Crassostrea gigas
Crassostrea virginica
Cyprinus carpio
Erimacrus isenbeckii
Eriocheir sinensis
Euphausia pacifica
Euphausia superba
Evynnis japonica
Farfantepenaeus aztecus
Fenneropenaeus chinensis
Fenneropenaeus merguiensis
Fulvia mutica
Gadus callarias
Gadus morhua
Haliotis discus discus
Haliotis diversicolor
Haliotis laevigata x Haliotis rubra
Helix aspersa
Homarus americanus
Lates calcarifer
Lepidorhombus whiffiagonis
Litopenaeus vannamei
Macrobrachium rosenbergii
Macruronus magellanicus
Macruronus novaezelandiae
Marsupenaeus japonicus
Melicertus latisulcatus
Merluccius australis australis
Merluccius bilinearis
Merluccius capensis
Merluccius gayi
Merluccius merluccius
Merluccius paradoxus
Merluccius polli
Merluccius productus
Metapenaeus ensis
Mimachlamys nobilis
Neptunea polycostata
Octopus vulgaris
Ommastrephes bartramii
Oncorhynchus keta
Oncorhynchus mykiss
Oratosquilla oratoria
Oreochromis mossambicus
Pandalus borealis
Panulirus stimpsoni
Paralithodes camtschaticus
Penaeus monodon
Perna viridis
Pontastacus leptodactylus
Portunus pelagicus
Portunus sanguinolentus
Portunus trituberculatus
Procambarus clarkii
Protortonia cacti
Pseudocardium sachalinensis
Quercus mongolica
Rastrelliger kanagurta
Saccostrea glomerata
Salmo salar
Salvelinus fontinalis
Sardinops sagax
Scapharca broughtonii
Scomber japonicus
Scomber scombrus
Scylla paramamosain
Scylla serrata
Sebastes marinus
Sepia esculenta
Sepioteuthis lessoniana
Sinonovacula constricta
Solen strictus
Theragra chalcogramma
Thunnus albacares
Todarodes pacificus
Trachurus japonicus
Tresus keenae
Venerupis philippinarum
Xiphias gladius
