SRR7698931,Pacifastacus leniusculus
SRR7698909,Laurentaeglyphea neocaledonica
SRR7698897,Munida isos
SRR7698908,Upogebia bowerbankii
SRR7698961,Cherax holthuisi
SRR7698960,Cherax preissii
SRR7698963,Cherax dispar
SRR7698917,Pachygrapsus marmoratus
SRR7698929,Epixanthus frontalis
SRR8030860,Erinaceus europaeus
SRR7698953,Remiarctus bertholdii
SRR8067685,Mizuhopecten yessoensis
SRR9261664,Penaeus monodon
SRR7698957,Clibanarius infraspinatus
SRR7698969,Engaeus lengana
SRR7755639,Gelasimus borealis
SRR7698942,Euastacus spinifer
SRR7698971,Cherax destructor
SRR7698944,Engaewa subcoerulea
SRR8801862,Portunus trituberculatus
SRR9925723,Salmo salar
SRR11061201,Protosalanx chinensis
SRR7253095,Salvelinus namaycush
ERR322054,Oncorhynchus mykiss
SRR7698935,Gramastacus lacus
SRR7698955,Ibacus alticrenatus
SRR7698923,Strahlaxius plectrorhynchus
SRR9734063,Eriocheir sinensis
SRR7288042,Crassostrea ariakensis
SRR7698952,Thenus orientalis
SRR10153337,Crassostrea gigas
SRR7698972,Cambaroides japonicus
SRR7698946,Engaeus quadrimanus
SRR7698945,Engaewa walpolea
SRR7653475,Trachinotus ovatus
SRR8065200,Caesio cuning
SRR7698906,Gebiacantha plantae
SRR9006817,Architeuthis dux
SRR8114409,Tetranychus urticae
SRR7698930,Paranephrops planifrons
SRR7698926,Cardisoma carnifex
SRR7698947,Engaeus sericatus
SRR9968587,Labritermes buttelreepeni
SRR7716264,Ruditapes philippinarum
SRR7311314,Scylla paramamosain
SRR7698924,Trypaea australiensis
SRR7755638,Austruca lactea
SRR7698915,Thalamita crenata
SRR7694318,Homarus gammarus
SRR7892712,Gecarcoidea natalis
SRR11194325,Gymnosarda unicolor
SRR11194327,Katsuwonus pelamis
SRR7410907,Thunnus thynnus
SRR11194329,Euthynnus alletteratus
ERR1473904,Thunnus albacares
SRR11194334,Auxis rochei
SRR7698968,Engaeus lyelli
SRR7698938,Tenuibranchiurus glypticus
SRR8325905,Sinonovacula constricta
SRR7698901,Axianassa australis
SRR7698964,Cherax tenuimanus
ERR2850386,Gadus morhua
SRR9700004,Drosophila yakuba
SRR10512945,Drosophila melanogaster
SRR7698979,Cambaroides dauricus
SRR7976338,Littorina saxatilis
SRR8881336,Fundulopanchax gardneri
SRR6915796,Salmo trutta
SRR9215630,Hiodon alosoides
SRR7698902,Macrobrachium bullatum
SRR11194322,Thunnus tonggol
SRR7698914,Tubuca capricornis
SRR7698913,Tubuca polita
SRR7698958,Birgus latro
SRR7591505,Sarotherodon linnellii
SRR7591506,Sarotherodon lohbergeri
SRR7591510,Konia dikume
SRR7591502,Stomatepia pindu
SRR10339006,Portunus pelagicus
SRR7767996,Heniochus diphreutes
SRR6925895,Danaus chrysippus
SRR10532867,Papilio protenor
SRR9330371,Apostictopterus fuliginosus
SRR8788622,Bactrocera oleae
SRR6963885,Mustela erminea
SRR9675139,Phalangium opilio
SRR11194323,Euthynnus affinis
SRR8616634,Pomacea canaliculata
SRR8616631,Pomacea maculata
ERR1473857,Trachyrincus murrayi
ERR1473872,Lota lota
ERR1473882,Arctogadus glacialis
ERR1473886,Gadus chalcogrammus
ERR1597900,Drosophila simulans
ERR1894907,Ruditapes decussatus
ERR2013689,Thymallus thymallus
ERR2028458,Melanogrammus aeglefinus
ERR2719953,Sardina pilchardus
ERR2752240,Oreochromis niloticus
